1.1_dem_number,1.2_res_number,1.3_op_para,1.4_date_adopt,1.5_substance,1.6.1_new_res_strict,1.6.2_new_res,1.6.3_new_dem,1.7.1_participant,1.7.2_party,1.8.1_ind_var_coder,1.8.2_dep_var_coder_1,1.8.2_dep_var_coder_2,2.1.1_civil_war,2.1.2_agenda_item  ,2.2_year_adopt,2.3_type_situation,2.4_region,2.5.1_start_date,2.5.2_end_date,2.5.3_duration,2.5.4_continuation,2.5.5_post,2.6_intensity,2.7_number_war_parties,2.8_foreign,2.9_battle_deaths,2.10.1_pol_instab_one_yr, 2.10.2_pol_instab_three_yr ,2.10.3_political_shock,2.10.4_MAGFAIL,2.10.5_MAGFAIL_lag,2.10.6_MAGFIGHT,2.10.7_MAGFIGHT_lag,2.10.8_MAGAREA,2.10.9_MAGAREA_lag,2.11.1_non-renew_nat_res,2.11.2_lootable_nat_res,2.12.1_proximate_civil_war,2.12.2_proximate_civil_war_number,2.13.1_depth_of_demand_final,2.13.2_depth_of_demand_coder_1,2.13.3_depth_of_demand_coder_2,3.1.1_sanctions_committee,3.1.2_ajudicative_com,3.1.3_investigative_trib,3.1.4_crim_trib,3.1.5_other_commission,3.1.6_sub_org_old_new,3.2_SC_mission,3.3.1_trad_peac_op,3.3.2_multidimensional_peace_op,3.3.3_civ_peace_building,3.3.4_transitional_admin,3.3.5_civ_pol,3.3.6_civ_obvs,3.3.7_commission,3.3.8_consular_commission,3.3.9_SRSG,3.3.10_UN_mediation,3.3.11_panel_of_experts,3.3.12_ICC,3.3._UN_field_old_new,3.4.1_peace_op,3.4.2_peace_op_old_new,3.4.3_UN_armed,3.4.4_UN_unarmed,3.4.5_auth_non-UN,3.4.6_unauth_non-UN,3.5.1_SC_seizure,3.5.2_SC_seizure_relationship,3.5.3_SC_seizure_date,3.5.4_SC_seizure_period,3.6.1_P5_consensus_two_year,3.6.2_P5_consensus_four_year,3.7_prior_res_situation,3.8.1_prior_res_demand_full,3.8.1_prior_res_demand_partial,3.9_prior_consent,3.10_SG_report,4.1.1_res_intro,4.1.2_res_intro_relationship,4.2.1_abstentions_CHI,4.2.2_absentions_F,4.2.3_absentions_RUS,4.2.4_absentions_UK,4.2.5_absentions_US,4.2.6_E10_negative,4.2.7_absent_vote,4.2.8_yes_vote,4.2.9_absention_vote,4.2.10_no_vote,5.1_mandatory_horatory,5.2.1_military_conduct,5.2.2_police,5.2.3_humanitarian,5.2.4_POC,5.2.5_freedom_of_movement,5.2.6_implement_peace_agree,5.2.7_internal_politics,5.2.8_dialogue,5.2.9_elections,5.2.10_economic,5.2.11_media,5.2.12_transitional_justice,5.2.13_engage_in_dialogue,5.2.14_provide_assistance,5.2.15_respect_sanctions,5.2.16_monitor,5.2.17_provide_UN_security,5.2.18_cooperate_UN,5.2.19_report_UNSC,5.2.20_report_SG,5.3.1_military,5.3.2_humanitarian,5.3.3_governence,5.3.4_external,5.3.5_cooperation_with_UN,5.4_functional_req,5.5_int_peace_and_security,5.6.1_op_chp_VI,5.6.2_op_chp_VII,5.6.3_op_chp_VIII,5.6.4_pream_chp_VII,5.6.5_pream_chp_VIII,5.6.6_charter_article,5.6.7_other treaties,5.7.1_incentives conditioned upon compliance  (3.7),5.7.2_threat of loss of benefits  (3.8),5.7.3_threat_force,5.8.1_none,5.8.2_imposed,5.8.3_previous,5.8.4_threat,5.8.5_threat_other,5.9.1_general_trade,5.9.2_arms,5.9.3_oil,5.9.4_natural_resource,5.9.5_financial,5.9.6_travel,5.9.7_targeted,5.9.8_diplomatic,5.10.1_council,5.10.2_commission,5.10.3_consular_commission,5.10.4_subcommission,5.10.5_committee,5.10.6_subcommittee,5.10.7_panel_of_experts,5.10.8_UN_field,5.10.9_SC,5.10.10_president_of_SC,5.10.11_SG,5.10.12_other_UN,5.10.13_other_int_org,5.10.14_state,5.10.15_fact_finding_mission,5.10.16_monitoring_mech_old_new,5.10.17_monitoring_mech_dummy,5.11_SG_report_request,5.12.1_UN_organ,5.12.2_member_state,5.12.3_all_states,5.12.4_regional_org,5.12.5_multilateral_peace_force,5.13_sunset_clause,8.1.1_short_term_final,8.1.2_medium_term_final,8.2.1_short_term_coder_1,8.2.2_medium_term_coder_1,8.3.1_short_term_coder_2,8.3.2_medium_term_coder_2
1207.0301,1207,3,11/17/98,demands the immediate and unconditional execution of those arrest warrants including the transfer to the custody of the Tribunal of those individuals,0,0,1,1,1,AH,LS,DS,FR Yugoslavia,Former Yugoslavia,1998,2,12,2/11/96,6/3/99,1010,198,0,3,2,0,1500,0,0,0,0,0,4,0,3,0,0,0,0,0,1,1,3,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,4,2,0,0,0,0,CAN,6,9/10/91,2625,1,1,2,0,0,0,0,FRN GMY ITA JPN POR SWD UKG USA,7,1,0,0,0,0,0,0,14,1,0,demands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,2,1,1,1,2
1207.0401,1207,4,11/17/98,cooperate fully with the Prosecutor in the investigation of all possible violations within the jurisdiction of the Tribunal,0,0,1,1,1,AH,LS,DS,FR Yugoslavia,Former Yugoslavia,1998,2,12,2/11/96,6/3/99,1010,198,0,3,2,0,1500,0,0,0,0,0,4,0,3,0,0,0,0,0,2,2,3,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,4,2,0,0,0,0,CAN,6,9/10/91,2625,1,1,2,0,0,0,0,FRN GMY ITA JPN POR SWD UKG USA,7,1,0,0,0,0,0,0,14,1,0,reiterates its call,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,2,1,1,1,2
1207.0201,1207,2,11/17/98,take any measures necessary under their domestic law to implement the provisions of resolution 827 and the Statute of the Tribunal,0,0,1,1,1,AH,LS,DS,FR Yugoslavia,Former Yugoslavia,1998,2,12,2/11/96,6/3/99,1010,198,0,3,2,0,1500,0,0,0,0,0,4,0,3,0,0,0,0,0,2,2,3,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,4,2,0,0,0,0,CAN,6,9/10/91,2625,1,1,2,0,0,0,0,FRN GMY ITA JPN POR SWD UKG USA,7,1,0,0,0,0,0,0,14,1,0,calls again upon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,2,1,1,1,2
1207.0101,1207,1,11/17/98,all States shall cooperate fully with the Tribunal and its organs in accordance with resolution 827 (1993) and the Statute of the Tribunal including the obligation of States to comply with requests for assistance or other orders issued by a Tiral Chamber under Article 29 of the Statute to execute arrest warrants transmitted to them by the Tribunal and to comply with its requests for information and investigations,0,1,1,1,1,AH,LS,DS,FR Yugoslavia,Former Yugoslavia,1998,2,12,2/11/96,6/3/99,1010,198,0,3,2,0,1500,0,0,0,0,0,4,0,3,0,0,0,0,0,3,3,3,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,4,2,0,0,0,0,CAN,6,9/10/91,2625,1,1,2,2,1,1,0,FRN GMY ITA JPN POR SWD UKG USA,7,1,0,0,0,0,0,0,14,1,0,all States shallÄ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,1,1,1,1,2
713.0401,713,4,9/25/91,abide strictly by the ceasefire agreements of 17 and 22 September 1991,1,1,1,1,1,AH,CK,CM,SFR Yugoslavia,SFR Yugoslavia,1991,1,12,8/1/90,8/5/01,420,3602,0,3,4,0,9113,0,0,0,5,0,5,0,4,0,0,0,0,0,3,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,CAN,6,9/10/91,15,1,1,0,0,0,1,0,AUS BEL FRN RUS UKG,7,0,0,0,0,0,0,0,15,0,0,strongly urges,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,9,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,2,2,1,2,2,2
721.0301,721,3,11/27/91,comply fully with the agreement [signed in Geneva on 23 November 1991],1,1,1,1,1,AH,CK,CM,SFR Yugoslavia,SFR Yugoslavia,1991,1,12,8/1/90,8/5/01,483,3539,0,3,4,0,9113,0,0,0,5,0,5,0,4,0,0,0,0,0,3,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,CAN,6,9/10/91,78,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,15,0,0,strongly urges,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,2,2,1,2,2,2
713.0501,713,5,9/25/91,settle their disputes peacefully and through negotiation at the Conference on Yugoslavia including through the mechanisms set forth within it,0,0,1,1,1,AH,CK,CM,SFR Yugoslavia,SFR Yugoslavia,1991,1,12,8/1/90,8/5/01,420,3602,0,3,4,0,9113,0,0,0,5,0,5,0,4,0,0,0,0,0,2,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,CAN,6,9/10/91,15,1,1,0,0,0,0,0,AUS BEL FRN RUS UKG,7,0,0,0,0,0,0,0,15,0,0,appeals urgently,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,2,3,2
637.0301,637,3,7/27/89,Continue their efforts to achieve a firm and lasting peace in Central America through the implementation of the commitments in the Guatemala agreement as well as in the Joint Declaration of 14 February 1989.,0,1,1,1,1,RoG,FC,DV,Nicaragua,Central America,1989,1,15,12/14/82,12/31/89,2417,157,0,3,2,0,25900,0,0,0,0,0,0,4,0,2,0,0,0,0,3,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NIC,3,3/25/82,2681,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,4,1,4,3,4
637.0401,637,4,7/27/89,Back the political will of the Central American countries to comply with the provisions of the Guatemala agreement and the Joint Declaration to immediately halt aid to irregular forces or insurrectional movements in the area with the exception of humanit,0,0,1,0,0,RoG,NA,NA,Nicaragua,Central America,1989,1,15,12/14/82,12/31/89,2417,157,0,3,2,0,25900,0,0,0,0,0,0,4,0,2,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NIC,3,3/25/82,2681,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
713.0601,713,6,9/25/91,decides under Chapter VII of the Charter of the UN that all States shall for the purposes of establishing peace and stability in Yugoslavia immediately implement a general and complete embargo on all deliveries of weapons and military equipment to Yugoslavia until the Council decides otherwise following consultation between the SG and the Government of Yugoslavia,0,0,1,0,0,AH,NA,NA,SFR Yugoslavia,SFR Yugoslavia,1991,1,12,8/1/90,8/5/01,420,3602,0,3,4,0,9113,0,0,0,5,0,5,0,4,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,CAN,6,9/10/91,15,1,1,0,0,0,0,0,AUS BEL FRN RUS UKG,7,0,0,0,0,0,0,0,15,0,0,decides that all States shall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,9,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
