"","Value","Std..Error","t.value","p.value"
"trad.pko1",0.0521249032123226,0.170614444791291,0.305512837884775,0.759975593854074
"multi.pko1",0.457129154052071,0.170239821087613,2.68520696938945,0.00724849045652367
"sanctions1",-0.606925466129707,0.166147880060178,-3.65292332294509,0.000259271671174499
"threat1",-0.272047090574822,0.144152647940179,-1.88721535443259,0.0591313659229966
"pos.inc1",-0.183899052028538,0.222904611556959,-0.825012325873511,0.40936459292362
"sc.mission.prior1",-0.405985579534595,0.179823327682797,-2.25769139502713,0.0239649060866774
"p5.vetoes.2yr1",0.584354676995478,0.321699038887798,1.81646385707509,0.0692992473409264
"p5.abstentions.past.2yr1",0.278598220606755,0.267993440286753,1.03957104438323,0.298539235325406
"p5.abstentions.change",-0.239091524977591,0.242740009763689,-0.984969577987372,0.324639014481034
"prior.consent1",-0.00983119795951392,0.104617230508867,-0.0939730282640268,0.925130582229152
"intensity.med1",-0.610181110742752,0.193829049653947,-3.14803746823369,0.00164370623119922
"intensity.high1",-0.774926153037685,0.19713801570292,-3.93088136894647,8.46350276648589e-05
"prox.war1",-0.679553524360562,0.136249013693575,-4.98758490750535,6.11387525462956e-07
"shock",-0.747155481135411,0.223147062214502,-3.34826492323346,0.000813192361091127
"lootable1",-0.426805051275703,0.409540879820246,-1.04215494058379,0.297339849994826
"dod.med1",-0.895204855089543,0.130017991072868,-6.88523832511631,5.76908688909415e-12
"dod.high1",-1.43220432660655,0.146539369441777,-9.77351227907114,1.46290711003994e-22
"1|2",-1.79606444554812,1.34607477937979,-1.33429767280513,0.182106319997714
"2|3",-0.109808659822283,1.34551856117588,-0.0816106614882509,0.934956322936858
"3|4",1.35799546984669,1.34572854515739,1.00911545254311,0.312919267977057
